Species,Genus,Family,Infraorder,Suborder,Order,Diet,Early Age,Late Age,Early Period,Late Period,Max MYA,Min MYA,Lifespan (MYA)
Asiaceratops salsopaludalis,Asiaceratops,,Ceratopsia,,Ornithischia,Herbivore,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous,100.5,93.9,6.599999999999994
Auroraceratops rugosus,Auroraceratops,,Ceratopsia,,Ornithischia,Herbivore,Albian,Albian,Lower Cretaceous,Lower Cretaceous,113.0,109.9,3.0999999999999943
Beg tse,Beg,,Ceratopsia,,Ornithischia,Herbivore,Albian,Cenomanian,Lower Cretaceous,Upper Cretaceous,106.2,93.9,12.299999999999997
Graciliceratops mongoliensis,Graciliceratops,,Ceratopsia,,Ornithischia,Herbivore,Cenomanian,Santonian,Upper Cretaceous,Upper Cretaceous,100.5,83.6,16.900000000000006
Liaoceratops yanzigouensis,Liaoceratops,,Ceratopsia,,Ornithischia,Herbivore,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous,125.77,119.5,6.269999999999996
Mosaiceratops azumai,Mosaiceratops,,Ceratopsia,,Ornithischia,Herbivore,Turonian,Campanian,Upper Cretaceous,Upper Cretaceous,93.9,72.1,21.80000000000001
Sasayamagnomus saegusai,Sasayamagnomus,,Ceratopsia,,Ornithischia,Herbivore,Albian,Albian,Lower Cretaceous,Lower Cretaceous,113.0,109.9,3.0999999999999943
Yamaceratops dorngobiensis,Yamaceratops,,Ceratopsia,,Ornithischia,Herbivore,Santonian,Campanian,Upper Cretaceous,Upper Cretaceous,86.3,72.1,14.200000000000003
Albertaceratops nesmoi,Albertaceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Lokiceratops rangiformis,Lokiceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Medusaceratops lokii,Medusaceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Centrosaurus apertus,Centrosaurus,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Coronosaurus brinkmani,Coronosaurus,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Rubeosaurus ovatus,Rubeosaurus,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Spinops sternbergorum,Spinops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Styracosaurus albertensis,Styracosaurus,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Avaceratops lammersi,Avaceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Crittendenceratops krzyzanowskii,Crittendenceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Furcatoceratops elucidans,Furcatoceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Nasutoceratops titusi,Nasutoceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Yehuecauhceratops mudei,Yehuecauhceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Achelousaurus horneri,Achelousaurus,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Einiosaurus procurvicornis,Einiosaurus,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Pachyrhinosaurus canadensis,Pachyrhinosaurus,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,83.6,66.0,17.599999999999994
Pachyrhinosaurus lakustai,Pachyrhinosaurus,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Pachyrhinosaurus perotorum,Pachyrhinosaurus,Ceratopsidae,,,Ornithischia,Herbivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Diabloceratops eatoni,Diabloceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Machairoceratops cronusi,Machairoceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Menefeeceratops sealeyi,Menefeeceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Monoclonius crassus,Monoclonius,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Sinoceratops zhuchengensis,Sinoceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Stellasaurus ancellae,Stellasaurus,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Wendiceratops pinhornensis,Wendiceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Xenoceratops foremostensis,Xenoceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Eotriceratops xerinsularis,Eotriceratops,Ceratopsidae,,,Ornithischia,Herbivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Regaliceratops peterhewsi,Regaliceratops,Ceratopsidae,,,Ornithischia,Herbivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Titanoceratops ouranos,Titanoceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Torosaurus latus,Torosaurus,Ceratopsidae,,,Ornithischia,Herbivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Ojoceratops fowleri,Triceratops,Ceratopsidae,,,Ornithischia,Herbivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Tatankaceratops sacrisonorum,Triceratops,Ceratopsidae,,,Ornithischia,Herbivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Triceratops horridus,Triceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,83.6,66.0,17.599999999999994
Triceratops prorsus,Triceratops,Ceratopsidae,,,Ornithischia,Herbivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Agujaceratops mariscalensis,Agujaceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Agujaceratops mavericus,Agujaceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Anchiceratops ornatus,Anchiceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,83.6,66.0,17.599999999999994
Arrhinoceratops brachyops,Arrhinoceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,83.6,66.0,17.599999999999994
Bisticeratops froeseorum,Bisticeratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Bravoceratops polyphemus,Bravoceratops,Ceratopsidae,,,Ornithischia,Herbivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Chasmosaurus belli,Chasmosaurus,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Chasmosaurus russelli,Chasmosaurus,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Coahuilaceratops magnacuerna,Coahuilaceratops,Ceratopsidae,,,Ornithischia,Herbivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Judiceratops tigris,Judiceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Kosmoceratops richardsoni,Kosmoceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Navajoceratops sullivani,Navajoceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Pentaceratops sternbergii,Pentaceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,83.6,66.0,17.599999999999994
Sierraceratops turneri,Sierraceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,83.6,66.0,17.599999999999994
Spiclypeus shipporum,Spiclypeus,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Terminocavus sealeyi,Terminocavus,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Utahceratops gettyi,Utahceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Vagaceratops irvinensis,Vagaceratops,Ceratopsidae,,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Albalophosaurus yamaguchiorum,Albalophosaurus,,,,Ornithischia,Herbivore,Barremian,Barremian,Lower Cretaceous,Lower Cretaceous,125.77,121.4,4.36999999999999
Micropachycephalosaurus hongtuyanensis,Micropachycephalosaurus,,,,Ornithischia,Herbivore,Coniacian,Santonian,Upper Cretaceous,Upper Cretaceous,89.8,83.6,6.200000000000003
Notoceratops bonarelli,Notoceratops,,,,Ornithischia,Herbivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Psittacosaurus amitabha,Psittacosaurus,Psittacosauridae,Ceratopsia,,Ornithischia,Herbivore,Hauterivian,Barremian,Lower Cretaceous,Lower Cretaceous,132.6,121.4,11.199999999999989
Psittacosaurus gobiensis,Psittacosaurus,Psittacosauridae,Ceratopsia,,Ornithischia,Herbivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Psittacosaurus lujiatunensis,Psittacosaurus,Psittacosauridae,Ceratopsia,,Ornithischia,Herbivore,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous,125.77,119.5,6.269999999999996
Psittacosaurus meileyingensis,Psittacosaurus,Psittacosauridae,Ceratopsia,,Ornithischia,Herbivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Psittacosaurus mongoliensis,Psittacosaurus,Psittacosauridae,Ceratopsia,,Ornithischia,Herbivore,Aptian,Albian,Lower Cretaceous,Lower Cretaceous,121.4,109.9,11.5
Psittacosaurus neimongoliensis,Psittacosaurus,Psittacosauridae,Ceratopsia,,Ornithischia,Herbivore,Berriasian,Albian,Lower Cretaceous,Lower Cretaceous,145.0,100.5,44.5
Psittacosaurus sibiricus,Psittacosaurus,Psittacosauridae,Ceratopsia,,Ornithischia,Herbivore,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous,125.77,113.0,12.769999999999996
Psittacosaurus sinensis,Psittacosaurus,Psittacosauridae,Ceratopsia,,Ornithischia,Herbivore,Aptian,Albian,Lower Cretaceous,Lower Cretaceous,121.4,100.5,20.900000000000006
Psittacosaurus xinjiangensis,Psittacosaurus,Psittacosauridae,Ceratopsia,,Ornithischia,Herbivore,Valanginian,Albian,Lower Cretaceous,Lower Cretaceous,139.8,100.5,39.30000000000001
Serendipaceratops arthurcclarkei,Serendipaceratops,,,,Ornithischia,Herbivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,119.5,113.0,6.5
Homalocephale calathocercos,Homalocephale,Pachycephalosauridae,Pachycephalosauria,,Ornithischia,Herbivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Pachycephalosaurus wyomingensis,Pachycephalosaurus,Pachycephalosauridae,Pachycephalosauria,,Ornithischia,Herbivore,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,83.6,66.0,17.599999999999994
Prenocephale prenes,Prenocephale,Pachycephalosauridae,Pachycephalosauria,,Ornithischia,Herbivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Stegoceras novomexicanum,Stegoceras,Pachycephalosauridae,Pachycephalosauria,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Stegoceras validum,Stegoceras,Pachycephalosauridae,Pachycephalosauria,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Alaskacephale gangloffi,Alaskacephale,Pachycephalosauridae,Pachycephalosauria,,Ornithischia,Herbivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Acrotholus audeti,Acrotholus,Pachycephalosauridae,Pachycephalosauria,,Ornithischia,Herbivore,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous,86.3,83.6,2.700000000000003
Foraminacephale brevis,Foraminacephale,Pachycephalosauridae,Pachycephalosauria,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Platytholus clemensi,Platytholus,Pachycephalosauridae,Pachycephalosauria,,Ornithischia,Herbivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Sphaerotholus buchholtzae,Sphaerotholus,Pachycephalosauridae,Pachycephalosauria,,Ornithischia,Herbivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Sphaerotholus edmontonensis,Sphaerotholus,Pachycephalosauridae,Pachycephalosauria,,Ornithischia,Herbivore,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,83.6,66.0,17.599999999999994
Sphaerotholus goodwini,Sphaerotholus,Pachycephalosauridae,Pachycephalosauria,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Sphaerotholus lyonsi,Sphaerotholus,Pachycephalosauridae,Pachycephalosauria,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Sphaerotholus triregnum,Sphaerotholus,Pachycephalosauridae,Pachycephalosauria,,Ornithischia,Herbivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Amtocephale gobiensis,Amtocephale,Pachycephalosauridae,Pachycephalosauria,,Ornithischia,Herbivore,Cenomanian,Santonian,Upper Cretaceous,Upper Cretaceous,100.5,83.6,16.900000000000006
Colepiocephale lambei,Colepiocephale,Pachycephalosauridae,Pachycephalosauria,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Gravitholus albertae,Gravitholus,Pachycephalosauridae,Pachycephalosauria,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Hanssuesia sternbergi,Hanssuesia,Pachycephalosauridae,Pachycephalosauria,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Sinocephale bexelli,Sinocephale,Pachycephalosauridae,Pachycephalosauria,,Ornithischia,Herbivore,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,83.6,66.0,17.599999999999994
Tylocephale gilmorei,Tylocephale,Pachycephalosauridae,Pachycephalosauria,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Goyocephale lattimorei,Goyocephale,Pachycephalosauridae,Pachycephalosauria,,Ornithischia,Herbivore,Santonian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,86.3,66.0,20.299999999999997
Tianyulong confuciusi,Tianyulong,Heterodontosauridae,,,Ornithischia,Herbivore,Bathonian,Kimmeridgian,Middle Jurassic,Upper Jurassic,168.2,152.2,16.0
Wannanosaurus yansiensis,Wannanosaurus,,Pachycephalosauria,,Ornithischia,Herbivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Gasparinisaura cincosaltensis,Gasparinisaura,,Ornithopoda,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Daurosaurus olovus,Daurosaurus,,,Neornithischia,Ornithischia,Herbivore,Bathonian,Tithonian,Middle Jurassic,Upper Jurassic,168.2,145.0,23.19999999999999
Hypsilophodon foxii,Hypsilophodon,Hypsilophodontidae,,,Ornithischia,Herbivore,Barremian,Barremian,Lower Cretaceous,Lower Cretaceous,125.77,121.4,4.36999999999999
Vectidromeus insularis,Vectidromeus,Dryosauridae,Ornithopoda,,Ornithischia,Herbivore,Berriasian,Albian,Lower Cretaceous,Lower Cretaceous,145.0,100.5,44.5
Lophorhothon atopus,Lophorhothon,,Ornithopoda,,Ornithischia,Herbivore,Santonian,Campanian,Upper Cretaceous,Upper Cretaceous,86.3,72.1,14.200000000000003
Barilium dawsoni,Barilium,,Ornithopoda,,Ornithischia,Herbivore,Valanginian,Barremian,Lower Cretaceous,Lower Cretaceous,139.8,121.4,18.400000000000006
Bolong yixianensis,Bolong,,Ornithopoda,,Ornithischia,Herbivore,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous,125.77,119.5,6.269999999999996
Jinzhousaurus yangi,Jinzhousaurus,,Ornithopoda,,Ornithischia,Herbivore,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous,125.77,119.5,6.269999999999996
Altirhinus kurzanovi,Altirhinus,,Ornithopoda,,Ornithischia,Herbivore,Albian,Albian,Lower Cretaceous,Lower Cretaceous,109.9,100.5,9.400000000000006
Hypselospinus fittoni,Hypselospinus,,Ornithopoda,,Ornithischia,Herbivore,Berriasian,Valanginian,Lower Cretaceous,Lower Cretaceous,140.6,132.6,8.0
Ouranosaurus nigeriensis,Ouranosaurus,,Ornithopoda,,Ornithischia,Herbivore,Aptian,Albian,Lower Cretaceous,Lower Cretaceous,121.4,100.5,20.900000000000006
Bayannurosaurus perfectus,Bayannurosaurus,,Ornithopoda,,Ornithischia,Herbivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,119.5,1.9000000000000057
Camptosaurus aphanoecetes,Camptosaurus,Camptosauridae,Ornithopoda,,Ornithischia,Herbivore,Tithonian,Tithonian,Upper Jurassic,Upper Jurassic,149.2,146.3,2.8999999999999773
Camptosaurus dispar,Camptosaurus,Camptosauridae,Ornithopoda,,Ornithischia,Herbivore,Kimmeridgian,Tithonian,Upper Jurassic,Upper Jurassic,154.8,145.0,9.800000000000011
Iguanodon bernissartensis,Iguanodon,Iguanodontidae,Ornithopoda,,Ornithischia,Herbivore,Tithonian,Aptian,Upper Jurassic,Lower Cretaceous,146.3,119.5,26.80000000000001
Iguanodon galvensis,Iguanodon,Iguanodontidae,Ornithopoda,,Ornithischia,Herbivore,Barremian,Barremian,Lower Cretaceous,Lower Cretaceous,125.77,121.4,4.36999999999999
Iguanodon major,Iguanodon,Iguanodontidae,Ornithopoda,,Ornithischia,Herbivore,Hauterivian,Barremian,Lower Cretaceous,Lower Cretaceous,132.6,121.4,11.199999999999989
Oblitosaurus bunnueli,Oblitosaurus,,Ornithopoda,,Ornithischia,Herbivore,Kimmeridgian,Tithonian,Upper Jurassic,Upper Jurassic,152.2,145.0,7.199999999999989
Acristavus gagslarsoni,Acristavus,Hadrosauridae,Ornithopoda,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Brachylophosaurus canadensis,Brachylophosaurus,Hadrosauridae,Ornithopoda,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Hadrosaurus foulkii,Hadrosaurus,Hadrosauridae,Ornithopoda,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Maiasaura peeblesorum,Maiasaura,Hadrosauridae,Ornithopoda,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Ornatops incantatus,Ornatops,Hadrosauridae,Ornithopoda,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Probrachylophosaurus bergei,Probrachylophosaurus,Hadrosauridae,Ornithopoda,,Ornithischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
