Name,Family,Infraorder,Suborder,Order,Taxon Size,Diet,Max MYA,Min MYA,Lifespan (MYA),Early Age,Late Age,Early Period,Late Period,Avialae
Hoplitosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,125.77,113.0,12.769999999999996,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous,False
Hungarosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,86.3,83.6,2.700000000000003,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous,False
Hylaeosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,140.6,109.9,30.69999999999999,Berriasian,Albian,Lower Cretaceous,Lower Cretaceous,False
Invictarx,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,False
Mymoorapelta,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,154.8,145.0,9.800000000000011,Kimmeridgian,Tithonian,Upper Jurassic,Upper Jurassic,False
Niobrarasaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,89.8,83.6,6.200000000000003,Coniacian,Santonian,Upper Cretaceous,Upper Cretaceous,False
Nodosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,100.5,66.0,34.5,Cenomanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,False
Panoplosaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,2,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,False
Patagopelta,,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,False
Pawpawsaurus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,106.2,100.5,5.700000000000003,Albian,Albian,Lower Cretaceous,Lower Cretaceous,False
Peloroplites,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,1,Herbivore,121.4,100.5,20.900000000000006,Aptian,Albian,Lower Cretaceous,Lower Cretaceous,False
Polacanthus,Nodosauridae,Ankylosauria,Thyreophora,Ornithischia,2,Herbivore,140.6,100.5,40.099999999999994,Berriasian,Albian,Lower Cretaceous,Lower Cretaceous,False
