"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments"
"830003","occ","","","91597","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.518056","48.633057","DE","Baden-Württenburg","Esslingen","based on nearby landmark","seconds","small collection","Coordinates based upon the village of Holzmaden"
"830004","occ","","","91598","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.518056","48.633057","DE","Baden-Württenburg","Esslingen","based on nearby landmark","seconds","outcrop","Coordinates based upon the village of Holzmaden"
"830005","occ","","","91600","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","8.815000","48.250557","DE","Baden-Württenburg","Zollernalbkreis","based on nearby landmark","seconds","small collection",""
"830006","occ","","","91599","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.571667","48.648609","DE","Baden-Württenburg","Zollernalbkreis","based on nearby landmark","seconds","small collection","Private quarry of Mr J. Fischer, Zell"
"830549","occ","","","91658","Dorygnathus banthensis","species","92103","Falciferum","","184.2","182","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.518056","48.633057","DE","Baden-Württenburg","Esslingen","based on nearby landmark","seconds","small collection","Coordinates based upon the village of Holzmaden"
"830555","occ","","","91659","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.525556","48.645557","DE","Baden-Württenburg","","based on nearby landmark","seconds","small collection","Coordinates are for the village of Ohmden; no more precise data available"
"830556","occ","","","91660","Campylognathoides zitteli","species","156111","Early Toarcian","","184.2","182.9","30912","Chordata","Reptilia","Pterosauria","Campylognathoididae","Campylognathoides","9.518056","48.633331","DE","Baden-Württenburg","Esslingen","based on nearby landmark","minutes","small collection","Working quarry near Dr B. Hauff's Quarry XXVIII, Holzmaden"
"830559","occ","","","91661","Campylognathoides zitteli","species","156111","Early Toarcian","","184.2","182.9","30912","Chordata","Reptilia","Pterosauria","Campylognathoididae","Campylognathoides","9.206111","48.490833","DE","Baden-Württenburg","Reutlingen","based on nearby landmark","seconds","small collection","""southern area of the Schwabian Alp, probably from the Bailinger-Reutlinger area"" Reutlinger is presumed to be a typo for Reutlingen, and the coordinates of this town are used"
"830565","occ","","","91663","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.571667","48.648609","DE","Baden-Württenburg","Zollernalbkreis","based on nearby landmark","seconds","small collection","Private quarry of Mr J. Fischer, Zell"
"830566","occ","","","91664","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.571667","48.648609","DE","Baden-Württenburg","Zollernalbkreis","based on nearby landmark","seconds","small collection","Private quarry of Mr J. Fischer, Zell"
"830567","occ","","","91665","Campylognathoides liasicus","species","156110","Early Toarcian","","184.2","182.9","30912","Chordata","Reptilia","Pterosauria","Campylognathoididae","Campylognathoides","9.285278","48.536388","DE","Baden-Württenburg","","based on nearby landmark","seconds","small collection","Wittberg, a hill near Metzingen. Coordinates based upon Metzingen. "
"830570","occ","","","91667","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.525556","48.645557","DE","Baden-Württenburg","","based on nearby landmark","seconds","small collection","Staatswald Ohmden (Ohmden State Forest). Coordinates are for the village of Ohmden. Quarry of P. Kirschmann."
"830571","occ","","","91668","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.564722","48.636391","DE","Baden-Württenburg","Zollernalbkreis","based on nearby landmark","seconds","small collection","Private quarry of Mr A. Fischer, Aichelberg"
"830572","occ","","","91670","Campylognathoides liasicus","species","156110","Early Toarcian","","184.2","182.9","30912","Chordata","Reptilia","Pterosauria","Campylognathoididae","Campylognathoides","9.525556","48.645557","DE","Baden-Württenburg","Esslingen","based on nearby landmark","seconds","small collection","Coordinates based upon the village of Ohmden; Hauser quarry"
"830583","occ","","","91671","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.518056","48.633057","DE","Baden-Württenburg","Esslingen","based on nearby landmark","seconds","small collection","Coordinates based upon the village of Holzmaden; private quarry of Gotthilf Fischer"
