"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments"
"849621","occ","","","77891","Tupandactylus navigans","species","163700","Late Aptian","","119.5","113","32116","Chordata","Reptilia","Pterosauria","Tapejaridae","Tupandactylus","-39.700001","-7.125000","BR","Ceara","","based on nearby landmark","3","local area","from the stone quarries south of Nova Olinda"
"849625","occ","","","77891","Lacusovagus magnificens","species","163711","Late Aptian","","119.5","113","32119","Chordata","Reptilia","Pterosauria","Chaoyangopteridae","Lacusovagus","-39.700001","-7.125000","BR","Ceara","","based on nearby landmark","3","local area","from the stone quarries south of Nova Olinda"
"849629","occ","","","41817","Ardeadactylus longicollum","species","163714","Late Kimmeridgian","","152.2","149.2","32120","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Ardeadactylus","9.100000","48.116669","DE","Baden-Württemberg","","based on nearby landmark","minutes","outcrop",""
"849630","occ","","","41817","Cycnorhamphus suevicus","species","163712","Late Kimmeridgian","","152.2","149.2","32120","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Cycnorhamphus","9.100000","48.116669","DE","Baden-Württemberg","","based on nearby landmark","minutes","outcrop",""
"849631","occ","","","29012","Rhamphorhynchus muensteri","species","95812","Early Tithonian","","149.2","146.3","32121","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphorhynchus","11.170000","48.900002","DE","Bavaria","","based on nearby landmark","1","local area","Quarries in the Eichstatt/Schernfeld/Solnhofen area"
"849633","occ","","","84365","Rhamphorhynchus muensteri","species","95812","Early Tithonian","","149.2","146.3","32121","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphorhynchus","11.375278","48.909168","DE","Bayern","","based on nearby landmark","seconds","local area","SPECIFIC LOCATION: Eichstätt, Bavaria, Germany. LAT/LONG: estimated based on Eichstätt, Germany"
"849634","occ","","","57682","Rhamphorhynchus muensteri","species","95812","Late Kimmeridgian","","152.2","149.2","32121","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphorhynchus","11.983056","49.024723","DE","Bayern","","based on nearby landmark","seconds","small collection","Exact location is uncertain due to conflicting descritptions and all that can be said is it is perhaps somwhere in the Riedenburg-Kelheim area, though Reisdorf & Wuttke (2012) consider Kapfelberg more likely"
"849635","occ","","","58604","Rhamphorhynchus muensteri","species","95812","Early Tithonian","","149.2","146.3","32121","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphorhynchus","11.500000","48.916668","DE","Bavaria","","based on political unit","minutes","outcrop",""
"849636","occ","","","53034","Rhamphorhynchus muensteri","species","95812","Early Tithonian","","149.2","146.3","32121","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphorhynchus","11.203056","48.993889","DE","Bayern","","based on nearby landmark","seconds","outcrop","quarry on the Blumenberg, just outside city of Eichstätt, 30 km E of Langenaltheim"
"850547","occ","","","35262","Gallodactylus canjuersensis","species","163716","Early Tithonian","","149.2","146.3","32158","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Gallodactylus","6.373150","43.705021","FR","Provence-Alpes-Côte d'Azur","Var","estimated from map","6","outcrop","limestone quarry (or quarries) near Bessons, near Aiguine, at border of the ""Petit Plan"" du Canjuers; owned by the Ghirardi family; NW of Draguignan"
"851146","occ","","","94635","Pteranodon longiceps","species","52932","Early Campanian","","83.6","72.1","32230","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-102.250000","43.883331","US","South Dakota","Pennington","based on political unit","minutes","small collection",""
"851154","occ","","","94636","Pteranodon longiceps","species","52932","Early Campanian","","83.6","72.1","32230","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-103.449997","43.666668","US","South Dakota","Custer","based on political unit","minutes","small collection",""
"851155","occ","","","94637","Pteranodon longiceps","species","52932","Early Campanian","","83.6","72.1","32230","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-103.449997","43.216667","US","South Dakota","Fall River","based on political unit","minutes","small collection",""
"851156","occ","","","94638","Pteranodon longiceps","species","52932","Early Campanian","","83.6","72.1","32230","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-103.449997","43.216667","US","South Dakota","Fall River","based on political unit","minutes","small collection",""
"851158","occ","","","94639","Pteranodon longiceps","species","52932","Early Campanian","","83.6","72.1","32230","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-103.449997","43.216667","US","South Dakota","Fall River","based on political unit","minutes","small collection",""
"851188","occ","","","94640","Pteranodon longiceps","species","52932","Middle Campanian","","83.6","72.1","32230","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-103.311699","43.412701","US","South Dakota","Fall River","stated in text","4","small collection","5.4 miles south of Buffalo Gap, Fall River County, South Dakota, USA (Fig. 1A, approximately 43°24'45.7''N, 103°18'43.2''W). This is the Thomas Conger Ranch and SDSM Locality V89-47, described by Hargrave (2007)."
"851189","occ","","","94641","Pteranodon longiceps","species","52932","Early Campanian","","83.6","72.1","32230","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-103.311699","43.412701","US","South Dakota","Fall River","stated in text","4","small collection","converted from T/R (NW 1/4, sec. 29, T. 7S, R. 7E)"
"851200","occ","","","94643","Pteranodon longiceps","species","52932","Early Campanian","","83.6","72.1","32230","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-103.311699","43.412701","US","South Dakota","Fall River","stated in text","4","small collection","converted from T/R (NW 1/4, sec. 29, T. 7S, R. 7E)"
"851224","occ","","","94644","Pteranodon longiceps","species","52932","Early Campanian","","83.6","72.1","32230","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-103.296600","43.007500","US","South Dakota","Fall River","based on nearby landmark","4","small collection",""
"851225","occ","","","94645","Pteranodon longiceps","species","52932","Early Campanian","","83.6","72.1","32230","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-103.296600","43.007500","US","South Dakota","Fall River","based on nearby landmark","4","outcrop",""
"851237","occ","","","94646","Pteranodon longiceps","species","52932","Early Campanian","","83.6","72.1","32230","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-103.449997","43.216667","US","South Dakota","Fall River","based on political unit","minutes","small collection",""
"851240","occ","","","94647","Pteranodon longiceps","species","52932","Early Campanian","","83.6","72.1","32230","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-103.449997","43.216667","US","South Dakota","Fall River","based on political unit","minutes","small collection",""
"851241","occ","","","94648","Pteranodon longiceps","species","52932","Early Campanian","","83.6","72.1","32230","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-103.296600","43.007500","US","South Dakota","Fall River","based on nearby landmark","4","small collection",""
"851242","occ","","","94650","Pteranodon longiceps","species","52932","Early Campanian","","83.6","72.1","32230","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-104.233330","43.383331","US","Wyoming","Niobrara","based on nearby landmark","minutes","",""
"851316","occ","","","94660","Elanodactylus prolatus","species","120628","Late Barremian","Early Aptian","125.77","119.5","32239","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Elanodactylus","121.647224","41.628056","CN","Liaoning","","based on nearby landmark","seconds","small collection",""
"851442","occ","","","92290","Santanadactylus brasilensis","species","164372","Late Aptian","","119.5","113","32253","Chordata","Reptilia","Pterosauria","Pteranodontidae","Santanadactylus","-39.266666","-7.216667","BR","Ceará","","estimated from map","minutes","basin","unknown and unspecified localities from the Romualdo Member of the Chapada do Araripe (= Araripe Basin), S Ceará, NE Brazil"
"851448","occ","","","92290","Brasileodactylus araripensis","species","164408","Late Aptian","","119.5","113","32255","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Brasileodactylus","-39.266666","-7.216667","BR","Ceará","","estimated from map","minutes","basin","unknown and unspecified localities from the Romualdo Member of the Chapada do Araripe (= Araripe Basin), S Ceará, NE Brazil"
"851449","occ","","","92290","Anhanguera araripensis","species","164409","Late Aptian","","119.5","113","32256","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Anhanguera","-39.266666","-7.216667","BR","Ceará","","estimated from map","minutes","basin","unknown and unspecified localities from the Romualdo Member of the Chapada do Araripe (= Araripe Basin), S Ceará, NE Brazil"
"851452","occ","","","92290","Santanadactylus spixi","species","164411","Late Aptian","","119.5","113","32256","Chordata","Reptilia","Pterosauria","Pteranodontidae","Santanadactylus","-39.266666","-7.216667","BR","Ceará","","estimated from map","minutes","basin","unknown and unspecified localities from the Romualdo Member of the Chapada do Araripe (= Araripe Basin), S Ceará, NE Brazil"
"851453","occ","","","92290","Anhanguera santanae","species","164412","Late Aptian","","119.5","113","32256","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Anhanguera","-39.266666","-7.216667","BR","Ceará","","estimated from map","minutes","basin","unknown and unspecified localities from the Romualdo Member of the Chapada do Araripe (= Araripe Basin), S Ceará, NE Brazil"
"851455","occ","","","92290","Anhanguera blittersdorffi","species","95395","Late Aptian","","119.5","113","23368","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Anhanguera","-39.266666","-7.216667","BR","Ceará","","estimated from map","minutes","basin","unknown and unspecified localities from the Romualdo Member of the Chapada do Araripe (= Araripe Basin), S Ceará, NE Brazil"
"851456","occ","","","92290","Tropeognathus mesembrinus","species","164414","Late Aptian","","119.5","113","32258","Chordata","Reptilia","Pterosauria","Anhangueridae","Tropeognathus","-39.266666","-7.216667","BR","Ceará","","estimated from map","minutes","basin","unknown and unspecified localities from the Romualdo Member of the Chapada do Araripe (= Araripe Basin), S Ceará, NE Brazil"
"851457","occ","","","92290","Anhanguera robustus","species","156883","Late Aptian","","119.5","113","32258","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Anhanguera","-39.266666","-7.216667","BR","Ceará","","estimated from map","minutes","basin","unknown and unspecified localities from the Romualdo Member of the Chapada do Araripe (= Araripe Basin), S Ceará, NE Brazil"
"851467","occ","","","94694","Anhanguera santanae","species","164412","Late Aptian","","119.5","113","32262","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Anhanguera","-39.433334","-7.966667","BR","Ceará","","based on nearby landmark","minutes","local area","Barra do Jardim, SE end of the Chapada do Araripe (Araripe Plateau), S Ceará, NE Brazil"
"851469","occ","","","92290","Tapejara wellnhoferi","species","95400","Late Aptian","","119.5","113","23370","Chordata","Reptilia","Pterosauria","Tapejaridae","Tapejara","-39.266666","-7.216667","BR","Ceará","","estimated from map","minutes","basin","unknown and unspecified localities from the Romualdo Member of the Chapada do Araripe (= Araripe Basin), S Ceará, NE Brazil"
"851471","occ","","","67712","Tupuxuara leonardii","species","156664","Late Aptian","","119.5","113","32263","Chordata","Reptilia","Pterosauria","Thalassodromidae","Tupuxuara","-39.733334","-7.183333","BR","Ceará","","based on nearby landmark","minutes","local area","""Near Santana do Cariri, Ceara State""; exact site(s) not recorded (mostly private collectors), but all materials believed to come from outcrops close to this city"
"851472","occ","","","67712","Anhanguera piscator","species","156885","Late Aptian","","119.5","113","32265","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Anhanguera","-39.733334","-7.183333","BR","Ceará","","based on nearby landmark","minutes","local area","""Near Santana do Cariri, Ceara State""; exact site(s) not recorded (mostly private collectors), but all materials believed to come from outcrops close to this city"
"851473","occ","","","67712","Anhanguera robustus","species","156883","Late Aptian","","119.5","113","32266","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Anhanguera","-39.733334","-7.183333","BR","Ceará","","based on nearby landmark","minutes","local area","""Near Santana do Cariri, Ceara State""; exact site(s) not recorded (mostly private collectors), but all materials believed to come from outcrops close to this city"
"851476","occ","","","67712","Tupuxuara deliradamus","species","164542","Late Aptian","","119.5","113","32272","Chordata","Reptilia","Pterosauria","Thalassodromidae","Tupuxuara","-39.733334","-7.183333","BR","Ceará","","based on nearby landmark","minutes","local area","""Near Santana do Cariri, Ceara State""; exact site(s) not recorded (mostly private collectors), but all materials believed to come from outcrops close to this city"
"851478","occ","","","92290","Cearadactylus atrox","species","156881","Late Aptian","","119.5","113","31091","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Cearadactylus","-39.266666","-7.216667","BR","Ceará","","estimated from map","minutes","basin","unknown and unspecified localities from the Romualdo Member of the Chapada do Araripe (= Araripe Basin), S Ceará, NE Brazil"
"851479","occ","","","92290","Tupuxuara longicristatus","species","95397","Late Aptian","","119.5","113","7670","Chordata","Reptilia","Pterosauria","Thalassodromidae","Tupuxuara","-39.266666","-7.216667","BR","Ceará","","estimated from map","minutes","basin","unknown and unspecified localities from the Romualdo Member of the Chapada do Araripe (= Araripe Basin), S Ceará, NE Brazil"
"851484","occ","29945","","92290","Banguela oberlii","species","294082","Late Aptian","","119.5","113","50992","Chordata","Reptilia","Pterosauria","Dsungaripteridae","Banguela","-39.266666","-7.216667","BR","Ceará","","estimated from map","minutes","basin","unknown and unspecified localities from the Romualdo Member of the Chapada do Araripe (= Araripe Basin), S Ceará, NE Brazil"
"851486","occ","","","92290","Maaradactylus spielbergi","species","164544","Late Aptian","","119.5","113","32278","Chordata","Reptilia","Pterosauria","Anhangueridae","Maaradactylus","-39.266666","-7.216667","BR","Ceará","","estimated from map","minutes","basin","unknown and unspecified localities from the Romualdo Member of the Chapada do Araripe (= Araripe Basin), S Ceará, NE Brazil"
"851666","occ","37252","","36264","Cryodrakon boreas","species","424518","Late Campanian","","83.6","72.1","73443","Chordata","Reptilia","Pterosauria","Azhdarchidae","Cryodrakon","-111.573692","50.818951","CA","Alberta","","stated in text","5","outcrop","in Dinosaur Provincial Park (lsd 13, sec. 26, tp. 21, rge. 12, W 4th meridian). All fossils found within 100m of the pterosaur. UTM 459,588.387 E, 5,629,849.862 N. Jarzen lists this as LSD 1, sec 34, T21, R12"
"851690","occ","37253","","94765","Cryodrakon boreas","species","424518","Late Campanian","","83.6","72.1","73443","Chordata","Reptilia","Pterosauria","Azhdarchidae","Cryodrakon","-111.518097","50.742409","CA","Alberta","","stated in text","5","small collection","near the centre of the badlands within the park; 463,442.017 E; 5,621,309.905 N, 12 UTM"
"853840","occ","","","94819","Zhenyuanopterus longirostris","species","165049","Late Barremian","Early Aptian","125.77","119.5","32340","Chordata","Reptilia","Pterosauria","Boreopteridae","Zhenyuanopterus","120.900002","41.633331","CN","Liaoning","","estimated from map","minutes","small collection","Estimated from map provided by Lü (2010) and Google Earth"
"865792","occ","","","92421","Fenghuangopterus lii","species","166765","Late Bathonian","Early Kimmeridgian","168.2","152.2","32590","Chordata","Reptilia","Pterosauria","Scaphognathidae","Fenghuangopterus","119.991112","40.868057","CN","Liaoning","Jianchang","stated in text","seconds","local area","Daxishan fossil site, Longlongta town, Jianchang county; section extends from 40° 51' 45"" N, 119° 59' 59"" E (240 m asl) to 40° 52' 20"" N, 119° 59' 03"" E (309m asl)."
"867574","occ","","","96222","Alanqa saharica","species","167135","Early Cenomanian","","100.5","93.9","32662","Chordata","Reptilia","Pterosauria","Azhdarchidae","Alanqa","-4.715278","30.546944","MA","Drâa-Tafilalet","Errachidia","stated in text","seconds","outcrop","Boumerade locality is near Lake Maider; longitude coordinates are given in the text as east, but this appears to be an error"
"867575","occ","","","96223","Alanqa saharica","species","167135","Early Cenomanian","","100.5","93.9","32662","Chordata","Reptilia","Pterosauria","Azhdarchidae","Alanqa","-3.870278","30.897499","MA","Drâa-Tafilalet","Errachidia","stated in text","seconds","small collection","near the village of Begaa and 10 km north-east of Taouz; longitude coordinates are given in the text as east, but this appears to be an error"
"867577","occ","","","96222","Coloborhynchus moroccensis","species","148853","Early Cenomanian","","100.5","93.9","32662","Chordata","Reptilia","Pterosauria","Anhangueridae","Coloborhynchus","-4.715278","30.546944","MA","Drâa-Tafilalet","Errachidia","stated in text","seconds","outcrop","Boumerade locality is near Lake Maider; longitude coordinates are given in the text as east, but this appears to be an error"
"876982","occ","31528","","59639","Bergamodactylus wildi","species","324075","Alaunian","","216.7","213.2","55720","Chordata","Reptilia","Pterosauria","Campylognathoididae","Bergamodactylus","9.817000","45.783001","IT","Lombardia","Bergamo","based on nearby landmark","3","outcrop","quarry on the slope of Monte Bo, close to the small town of Cene, Seriana Valley, Bergamo. Coordinates are for Cene."
"877913","occ","","","41817","Rhamphorhynchus muensteri","species","95812","Late Kimmeridgian","","152.2","149.2","33234","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphorhynchus","9.100000","48.116669","DE","Baden-Württemberg","","based on nearby landmark","minutes","outcrop",""
"877926","occ","","","84365","Rhamphorhynchus muensteri","species","95812","Early Tithonian","","149.2","146.3","32121","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphorhynchus","11.375278","48.909168","DE","Bayern","","based on nearby landmark","seconds","local area","SPECIFIC LOCATION: Eichstätt, Bavaria, Germany. LAT/LONG: estimated based on Eichstätt, Germany"
"877928","occ","","","84365","Rhamphorhynchus muensteri","species","95812","Early Tithonian","","149.2","146.3","32121","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphorhynchus","11.375278","48.909168","DE","Bayern","","based on nearby landmark","seconds","local area","SPECIFIC LOCATION: Eichstätt, Bavaria, Germany. LAT/LONG: estimated based on Eichstätt, Germany"
"877930","occ","","","84365","Rhamphorhynchus muensteri","species","95812","Early Tithonian","","149.2","146.3","32121","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphorhynchus","11.375278","48.909168","DE","Bayern","","based on nearby landmark","seconds","local area","SPECIFIC LOCATION: Eichstätt, Bavaria, Germany. LAT/LONG: estimated based on Eichstätt, Germany"
"877932","occ","","","84365","Scaphognathus crassirostris","species","95819","Early Tithonian","","149.2","146.3","32121","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Scaphognathus","11.375278","48.909168","DE","Bayern","","based on nearby landmark","seconds","local area","SPECIFIC LOCATION: Eichstätt, Bavaria, Germany. LAT/LONG: estimated based on Eichstätt, Germany"
"877933","occ","","","84365","Anurognathus ammoni","species","164695","Early Tithonian","","149.2","146.3","32121","Chordata","Reptilia","Pterosauria","Anurognathidae","Anurognathus","11.375278","48.909168","DE","Bayern","","based on nearby landmark","seconds","local area","SPECIFIC LOCATION: Eichstätt, Bavaria, Germany. LAT/LONG: estimated based on Eichstätt, Germany"
"877934","occ","","","84365","Pterodactylus antiquus","species","170084","Early Tithonian","","149.2","146.3","34083","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pterodactylus","11.375278","48.909168","DE","Bayern","","based on nearby landmark","seconds","local area","SPECIFIC LOCATION: Eichstätt, Bavaria, Germany. LAT/LONG: estimated based on Eichstätt, Germany"
"877935","occ","","","84365","Pterodactylus kochi","species","95820","Early Tithonian","","149.2","146.3","32120","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pterodactylus","11.375278","48.909168","DE","Bayern","","based on nearby landmark","seconds","local area","SPECIFIC LOCATION: Eichstätt, Bavaria, Germany. LAT/LONG: estimated based on Eichstätt, Germany"
"877936","occ","","","84365","Pterodactylus micronyx","species","164691","Early Tithonian","","149.2","146.3","32120","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pterodactylus","11.375278","48.909168","DE","Bayern","","based on nearby landmark","seconds","local area","SPECIFIC LOCATION: Eichstätt, Bavaria, Germany. LAT/LONG: estimated based on Eichstätt, Germany"
"877937","occ","","","84365","Ctenochasma elegans","species","156640","Early Tithonian","","149.2","146.3","32120","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Ctenochasma","11.375278","48.909168","DE","Bayern","","based on nearby landmark","seconds","local area","SPECIFIC LOCATION: Eichstätt, Bavaria, Germany. LAT/LONG: estimated based on Eichstätt, Germany"
"877938","occ","","","84365","Cycnorhamphus suevicus","species","163712","Early Tithonian","","149.2","146.3","32120","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Cycnorhamphus","11.375278","48.909168","DE","Bayern","","based on nearby landmark","seconds","local area","SPECIFIC LOCATION: Eichstätt, Bavaria, Germany. LAT/LONG: estimated based on Eichstätt, Germany"
"877939","occ","","","84365","Ardeadactylus longicollum","species","163714","Early Tithonian","","149.2","146.3","32120","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Ardeadactylus","11.375278","48.909168","DE","Bayern","","based on nearby landmark","seconds","local area","SPECIFIC LOCATION: Eichstätt, Bavaria, Germany. LAT/LONG: estimated based on Eichstätt, Germany"
"877940","occ","","","84365","Germanodactylus cristatus","species","156750","Early Tithonian","","149.2","146.3","32120","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Germanodactylus","11.375278","48.909168","DE","Bayern","","based on nearby landmark","seconds","local area","SPECIFIC LOCATION: Eichstätt, Bavaria, Germany. LAT/LONG: estimated based on Eichstätt, Germany"
"877941","occ","","","84365","Ctenochasma elegans","species","156640","Early Tithonian","","149.2","146.3","3120","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Ctenochasma","11.375278","48.909168","DE","Bayern","","based on nearby landmark","seconds","local area","SPECIFIC LOCATION: Eichstätt, Bavaria, Germany. LAT/LONG: estimated based on Eichstätt, Germany"
"877942","occ","","","84365","Gnathosaurus subulatus","species","164689","Early Tithonian","","149.2","146.3","32120","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Gnathosaurus","11.375278","48.909168","DE","Bayern","","based on nearby landmark","seconds","local area","SPECIFIC LOCATION: Eichstätt, Bavaria, Germany. LAT/LONG: estimated based on Eichstätt, Germany"
"887576","occ","","","79941","Chaoyangopterus zhangi","species","138762","Aptian","","121.4","113","33952","Chordata","Reptilia","Pterosauria","Azhdarchidae","Chaoyangopterus","120.158333","41.572224","CN","Liaoning","Chaoyang","stated in text","seconds","small collection","on a hill near Yuanjiawa village, near Dapingfang, 40 km SW of Chaoyang; Wang et al. 2008 (Zootaxa 1813) note that the Liaoxipterus holotype comes from this locality, although this is not mentioned in the original paper"
"899986","occ","35274","","100363","Alamodactylus byrdi","species","378439","Early Coniacian","","89.8","86.3","67236","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Alamodactylus","-96.833336","33.000000","US","Texas","Collin","based on political unit","degrees","small collection","""SMU 76476...was donated to the Shuler Museum without detailed information regarding provenance. The specimen was collected northwest of Dallas, from southwestern Collin County, southeastern Denton County, or northern Dallas County."" Coordinates based on junction between these three counties. But ""the locality is probably SMU Loc. 468 is southwestern Collin County."""
"901267","occ","","","100669","Rhamphocephalus bucklandi","species","95827","Oxfordian","","161.5","154.8","23773","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphocephalus","-1.179167","51.745834","UK","England","Oxfordshire","estimated from map","seconds","outcrop","A described section from Oxford to Shotover Hill"
"901682","occ","","","92421","Darwinopterus linglongtaensis","species","173851","Late Bathonian","Early Kimmeridgian","168.2","152.2","34511","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Darwinopterus","119.991112","40.868057","CN","Liaoning","Jianchang","stated in text","seconds","local area","Daxishan fossil site, Longlongta town, Jianchang county; section extends from 40° 51' 45"" N, 119° 59' 59"" E (240 m asl) to 40° 52' 20"" N, 119° 59' 03"" E (309m asl)."
"901683","occ","","","92421","Kunpengopterus sinensis","species","173853","Late Bathonian","Early Kimmeridgian","168.2","152.2","34511","Chordata","Reptilia","Pterosauria","Wukongopteridae","Kunpengopterus","119.991112","40.868057","CN","Liaoning","Jianchang","stated in text","seconds","local area","Daxishan fossil site, Longlongta town, Jianchang county; section extends from 40° 51' 45"" N, 119° 59' 59"" E (240 m asl) to 40° 52' 20"" N, 119° 59' 03"" E (309m asl)."
"902240","occ","","","101088","Caulkicephalus trimicrodon","species","149958","Barremian","","125.77","121.4","34541","Chordata","Reptilia","Pterosauria","Ornithocheiridae","Caulkicephalus","-1.133333","50.664444","UK","England","Isle of Wight","based on nearby landmark","seconds","small collection","Coordinates for the village of Yaverland"
"902244","occ","","","101091","Istiodactylus latidens","species","135363","Barremian","","125.77","121.4","34541","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Istiodactylus","-1.128611","50.663612","UK","England","Isle of Wight","stated in text","seconds","small collection","National Grid Reference SZ 61693 85223"
"902247","occ","","","101092","Istiodactylus latidens","species","135363","Barremian","","125.77","121.4","34541","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Istiodactylus","-1.380833","50.622780","UK","England","Isle of Wight","stated in text","seconds","small collection","National Grid reference SZ 43891 89530"
"902256","occ","28069","","101097","Prejanopterus curvirostris","species","173994","Early Aptian","","121.4","119.5","44369","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Prejanopterus","-2.190500","42.173401","ES","La Rioja","Prejano","stated in text","4","small collection","""This site is located south of the Préjano municipality, on the western flank of Peña Isasa, in the place of the same name and near the outcrop Sol de la Pita 2, which also yielded remains of pterosaurs.""\r\nU.T.M.: X: 566860 Y: 4669350 Z: 755 m."
"902258","occ","","","101100","Geosternbergia maiseyi","species","174000","Early Campanian","Middle Campanian","83.6","72.1","34548","Chordata","Reptilia","Pterosauria","Pteranodontidae","Geosternbergia","-103.816666","43.299999","US","South Dakota","","based on nearby landmark","minutes","small collection","""Edgemont area""; coordinates based upon town of Edgemont"
"902259","occ","","","101104","Dawndraco kanzai","species","174002","Late Coniacian","Early Santonian","89.8","83.6","34548","Chordata","Reptilia","Pterosauria","Pteranodontidae","Dawndraco","-100.169724","38.643890","US","Kansas","Ness","based on nearby landmark","seconds","small collection","Coordinates based upon the town of Utica, near to which the specimen was collected"
"903300","occ","","","67712","Unwindia trigonus","species","174080","Late Aptian","","119.5","113","34569","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Unwindia","-39.733334","-7.183333","BR","Ceará","","based on nearby landmark","minutes","local area","""Near Santana do Cariri, Ceara State""; exact site(s) not recorded (mostly private collectors), but all materials believed to come from outcrops close to this city"
"907954","occ","","","102227","Tupandactylus imperator","species","156665","Late Aptian","","119.5","113","34733","Chordata","Reptilia","Pterosauria","Tapejaridae","Tupandactylus","-39.697224","-7.122222","BR","Ceará","","stated in text","seconds","small collection","Quarry at Mina Triunfo (Nova Olinda city, Ceará Province, UTM 24M0423025E/9212692N)."
"920390","occ","","","92421","Archaeoistiodactylus linglongtaensis","species","177316","Late Bathonian","Early Kimmeridgian","168.2","152.2","35167","Chordata","Reptilia","Pterosauria","Istiodactylidae","Archaeoistiodactylus","119.991112","40.868057","CN","Liaoning","Jianchang","stated in text","seconds","local area","Daxishan fossil site, Longlongta town, Jianchang county; section extends from 40° 51' 45"" N, 119° 59' 59"" E (240 m asl) to 40° 52' 20"" N, 119° 59' 03"" E (309m asl)."
"931663","occ","","","92421","Changchengopterus pani","species","153898","Late Bathonian","Early Kimmeridgian","168.2","152.2","35658","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Changchengopterus","119.991112","40.868057","CN","Liaoning","Jianchang","stated in text","seconds","local area","Daxishan fossil site, Longlongta town, Jianchang county; section extends from 40° 51' 45"" N, 119° 59' 59"" E (240 m asl) to 40° 52' 20"" N, 119° 59' 03"" E (309m asl)."
