"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","container_no","reference_no","is_extant","n_occs","phylum","class","order","family","genus","type_taxon","taxon_size","extant_size","firstapp_max_ma","firstapp_min_ma","lastapp_max_ma","lastapp_min_ma","early_interval","late_interval","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","image_no"
"95827","156329","txn","","species","Rhamphocephalus bucklandi","","95827","species","Rhamphocephalus bucklandi","156250","","30159","extinct","5","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphocephalus","","1","0","168.2","165.3","161.5","154.8","Bathonian","Oxfordian","marine","","actively mobile","volant","","piscivore","","","","1114"
"156252","156254","txn","","species","Rhamphocephalus depressirostris","","156252","species","Rhamphocephalus depressirostris","156250","","30954","extinct","1","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphocephalus","","1","0","168.2","165.3","168.2","165.3","Bathonian","","marine","","actively mobile","volant","","piscivore","","","","1114"
"38476","38476","txn","","genus","Rhamphorhynchus","","38476","genus","Rhamphorhynchus","92102","","4783","extinct","30","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphorhynchus","","6","0","161.5","154.8","149.2","145","Oxfordian","Tithonian","marine","","actively mobile","volant","","piscivore","","","","1555"
"340921","340921","txn","","species","Rhamphorhynchus etchesi","","340921","species","Rhamphorhynchus etchesi","38476","","59178","extinct","1","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphorhynchus","","1","0","149.2","145","149.2","145","Tithonian","","marine","","actively mobile","volant","","piscivore","","","","1555"
"95812","95813","txn","","species","Rhamphorhynchus muensteri","","95812","species","Rhamphorhynchus muensteri","38476","","23690","extinct","14","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Rhamphorhynchus","","1","0","152.2","149.2","149.2","146.3","Kimmeridgian","Tithonian","marine","","actively mobile","volant","","piscivore","","","","1555"
"162685","162685","txn","","genus","Sericipterus","","162685","genus","Sericipterus","92102","","31911","extinct","2","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Sericipterus","","2","0","161.5","154.8","161.5","154.8","Oxfordian","","marine","","actively mobile","volant","","piscivore","","","","1114"
"162686","162686","txn","","species","Sericipterus wucaiwanensis","","162686","species","Sericipterus wucaiwanensis","162685","","31911","extinct","1","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Sericipterus","","1","0","161.5","154.8","161.5","154.8","Oxfordian","","marine","","actively mobile","volant","","piscivore","","","","1114"
"65558","65558","txn","","subfamily","Scaphognathinae","","65558","subfamily","Scaphognathinae","38470","","13275","extinct","10","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","","","8","0","168.2","154.8","149.2","145","Bathonian","Tithonian","marine","","actively mobile","volant","","piscivore","","","","1114"
"202635","202635","txn","","genus","Jianchangopterus","","202635","genus","Jianchangopterus","65558","","38026","extinct","2","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Jianchangopterus","Jianchangopterus zhaoianus","2","0","168.2","152.2","168.2","152.2","Bathonian","Kimmeridgian","marine","","actively mobile","volant","","piscivore","","","","1114"
"202636","202636","txn","","species","Jianchangopterus zhaoianus","","202636","species","Jianchangopterus zhaoianus","202635","","38026","extinct","1","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Jianchangopterus","","1","0","168.2","152.2","168.2","152.2","Bathonian","Kimmeridgian","marine","","actively mobile","volant","","piscivore","","","","1114"
"38477","38477","txn","","genus","Scaphognathus","","38477","genus","Scaphognathus","65558","","4783","extinct","6","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Scaphognathus","Parapsicephalus purdoni","3","0","168.2","152.2","149.2","145","Bathonian","Tithonian","marine","","actively mobile","volant","","piscivore","","","","1114"
"95819","164694","txn","","species","Scaphognathus crassirostris","","95819","species","Scaphognathus crassirostris","38477","","16227","extinct","2","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Scaphognathus","","1","0","149.2","146.3","149.2","145","Tithonian","","marine","","actively mobile","volant","","piscivore","","","","1114"
"289552","289552","txn","","species","Scaphognathus robustus","","289552","species","Scaphognathus robustus","38477","","50319","extinct","1","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Scaphognathus","","1","0","168.2","152.2","168.2","152.2","Bathonian","Kimmeridgian","marine","","actively mobile","volant","","piscivore","","","","1114"
