Name,Family,Infraorder,Suborder,Order,Taxon Size,Diet,Max MYA,Min MYA,Early Age,Late Age,Early Period,Late Period
Cerasinops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Ferrisaurus,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Gremlin,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Gryphoceratops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,86.3,83.6,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous
Helioceratops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,121.4,100.5,Aptian,Albian,Lower Cretaceous,Lower Cretaceous
Ischioceratops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Koreaceratops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,113,100.5,Albian,Albian,Lower Cretaceous,Lower Cretaceous
Leptoceratops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Montanoceratops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Prenoceratops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Udanoceratops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Unescoceratops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Zhuchengceratops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Aquilops,,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,109.9,100.5,Albian,Albian,Lower Cretaceous,Lower Cretaceous
Archaeoceratops,Archaeoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,2,Herbivore,121.4,109.9,Aptian,Albian,Lower Cretaceous,Lower Cretaceous
Asiaceratops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,100.5,93.9,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous
Auroraceratops,,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,113,109.9,Albian,Albian,Lower Cretaceous,Lower Cretaceous
Beg,,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,106.2,93.9,Albian,Cenomanian,Lower Cretaceous,Upper Cretaceous
Graciliceratops,,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,100.5,83.6,Cenomanian,Santonian,Upper Cretaceous,Upper Cretaceous
Liaoceratops,,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,125.77,119.5,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous
Mosaiceratops,,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,93.9,72.1,Turonian,Campanian,Upper Cretaceous,Upper Cretaceous
Sasayamagnomus,,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,113,109.9,Albian,Albian,Lower Cretaceous,Lower Cretaceous
Yamaceratops,,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,86.3,72.1,Santonian,Campanian,Upper Cretaceous,Upper Cretaceous
Albertaceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Lokiceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Medusaceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Centrosaurus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Coronosaurus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Rubeosaurus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Spinops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Styracosaurus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Avaceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Crittendenceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Furcatoceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Nasutoceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Yehuecauhceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Achelousaurus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Einiosaurus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Pachyrhinosaurus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,3,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Diabloceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Machairoceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Menefeeceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Monoclonius,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Sinoceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Stellasaurus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Wendiceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Xenoceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Eotriceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Regaliceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Titanoceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Torosaurus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,2,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Triceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,4,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Agujaceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Anchiceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Arrhinoceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Bisticeratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Bravoceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Chasmosaurus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,2,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Coahuilaceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Judiceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Kosmoceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Navajoceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Pentaceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Sierraceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Spiclypeus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Terminocavus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Utahceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Vagaceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Albalophosaurus,,Ceratopsia,Neornithischia,Ornithischia,1,Herbivore,125.77,121.4,Barremian,Barremian,Lower Cretaceous,Lower Cretaceous
Micropachycephalosaurus,,Basal Neornithischia,Neornithischia,Ornithischia,1,Herbivore,89.8,83.6,Coniacian,Santonian,Upper Cretaceous,Upper Cretaceous
Notoceratops,,,,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Psittacosaurus,Psittacosauridae,Ceratopsia,Neornithischia,Ornithischia,9,Herbivore,139.8,100.5,Valanginian,Albian,Lower Cretaceous,Lower Cretaceous
Serendipaceratops,,,,Ornithischia,1,Herbivore,119.5,113,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous
Homalocephale,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Pachycephalosaurus,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Prenocephale,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Stegoceras,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,2,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Alaskacephale,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Acrotholus,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,1,Herbivore,86.3,83.6,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous
Foraminacephale,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Platytholus,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Sphaerotholus,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,5,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Amtocephale,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,1,Herbivore,100.5,83.6,Cenomanian,Santonian,Upper Cretaceous,Upper Cretaceous
Colepiocephale,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Gravitholus,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,0,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Hanssuesia,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Sinocephale,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Tylocephale,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Goyocephale,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,1,Herbivore,86.3,66,Santonian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Tianyulong,Heterodontosauridae,,Basal Ornithischia,Ornithischia,1,Herbivore,168.2,152.2,Bathonian,Kimmeridgian,Middle Jurassic,Upper Jurassic
Wannanosaurus,,Pachycephalosauria,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Gasparinisaura,Thescelosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Daurosaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,168.2,145,Bathonian,Tithonian,Middle Jurassic,Upper Jurassic
Hypsilophodon,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,154.8,119.5,Kimmeridgian,Aptian,Upper Jurassic,Lower Cretaceous
Vectidromeus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,145,100.5,Berriasian,Albian,Lower Cretaceous,Lower Cretaceous
Lophorhothon,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,86.3,72.1,Santonian,Campanian,Upper Cretaceous,Upper Cretaceous
Barilium,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,139.8,121.4,Valanginian,Barremian,Lower Cretaceous,Lower Cretaceous
Bolong,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,125.77,119.5,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous
Jinzhousaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,125.77,119.5,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous
Altirhinus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,109.9,100.5,Albian,Albian,Lower Cretaceous,Lower Cretaceous
Hypselospinus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,140.6,132.6,Berriasian,Valanginian,Lower Cretaceous,Lower Cretaceous
Ouranosaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,121.4,66,Aptian,Maastrichtian,Lower Cretaceous,Upper Cretaceous
Bayannurosaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,121.4,119.5,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous
Camptosaurus,Camptosauridae,Ornithopoda,Neornithischia,Ornithischia,2,Herbivore,157.9,145,Oxfordian,Tithonian,Upper Jurassic,Upper Jurassic
Iguanodon,Iguanodontidae,Ornithopoda,Neornithischia,Ornithischia,4,Herbivore,154.8,66,Kimmeridgian,Maastrichtian,Upper Jurassic,Upper Cretaceous
Oblitosaurus,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,152.2,145,Kimmeridgian,Tithonian,Upper Jurassic,Upper Jurassic
Acristavus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Brachylophosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Hadrosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,86.3,66,Santonian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Maiasaura,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,86.3,72.1,Santonian,Campanian,Upper Cretaceous,Upper Cretaceous
Ornatops,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Probrachylophosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Wulagasaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Edmontosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,2,Herbivore,89.8,66,Coniacian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Kerberosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Shantungosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,100.5,66,Cenomanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Ugrunaaluk,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Gryposaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,4,Herbivore,86.3,66,Santonian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Huallasaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Kelumapusaura,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Kritosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,2,Herbivore,86.3,66,Santonian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Naashoibitosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Secernosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Augustynolophus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Bonapartesaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Prosaurolophus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Saurolophus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,2,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Anasazisaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Kamuysaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Mandschurosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,121.4,66,Aptian,Maastrichtian,Lower Cretaceous,Upper Cretaceous
Adynomosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Ajnabia,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Arenysaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Blasisaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Canardia,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Minqaria,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Pararhabdodon,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Corythosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,2,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Hypacrosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,2,Herbivore,83.6,66,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Lambeosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,3,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Velafrons,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Magnapaulia,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Charonosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Parasaurolophus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,3,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Tlatolophus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Adelolophus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Amurosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,72.1,66,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Angulomastacator,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Aralosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,86.3,72.1,Santonian,Campanian,Upper Cretaceous,Upper Cretaceous
Jaxartosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,89.8,83.6,Coniacian,Santonian,Upper Cretaceous,Upper Cretaceous
Kazaklambia,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,89.8,83.6,Coniacian,Santonian,Upper Cretaceous,Upper Cretaceous
