Name,Genus,Parent Taxon,Family,Order,Class,Number of Occurrences,First Appearance (MYA),Last Appearance (MYA),Early Interval,Late Interval,Era
Archaeoceratops oshimai,Archaeoceratops,Neoceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,2,113.0,109.9,Albian,Albian,Cretaceous
Archaeoceratops yujingziensis,Archaeoceratops,Neoceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Asiaceratops salsopaludalis,Asiaceratops,Neoceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,7,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Auroraceratops rugosus,Auroraceratops,Neoceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,2,113.0,109.9,Albian,Albian,Cretaceous
Beg tse,Beg,Neoceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,106.2,93.9,Albian,Cenomanian,Cretaceous
Graciliceratops mongoliensis,Graciliceratops,Neoceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,100.5,83.6,Cenomanian,Santonian,Cretaceous
Liaoceratops yanzigouensis,Liaoceratops,Neoceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,2,125.77,119.5,Barremian,Aptian,Cretaceous
Mosaiceratops azumai,Mosaiceratops,Neoceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,93.9,72.1,Turonian,Campanian,Cretaceous
Yamaceratops dorngobiensis,Yamaceratops,Neoceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,86.3,72.1,Santonian,Campanian,Cretaceous
Albertaceratops nesmoi,Albertaceratops,Albertaceratopsini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,2,83.6,72.1,Campanian,Campanian,Cretaceous
Lokiceratops rangiformis,Lokiceratops,Albertaceratopsini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Medusaceratops lokii,Medusaceratops,Albertaceratopsini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Centrosaurus apertus,Centrosaurus,Centrosaurini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,34,83.6,72.1,Campanian,Campanian,Cretaceous
Coronosaurus brinkmani,Coronosaurus,Centrosaurini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,2,83.6,72.1,Campanian,Campanian,Cretaceous
Rubeosaurus ovatus,Rubeosaurus,Centrosaurini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,2,83.6,72.1,Campanian,Campanian,Cretaceous
Spinops sternbergorum,Spinops,Centrosaurini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Styracosaurus albertensis,Styracosaurus,Centrosaurini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,8,83.6,72.1,Campanian,Campanian,Cretaceous
Avaceratops lammersi,Avaceratops,Nasutoceratopsini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Crittendenceratops krzyzanowskii,Crittendenceratops,Nasutoceratopsini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,2,83.6,72.1,Campanian,Campanian,Cretaceous
Furcatoceratops elucidans,Furcatoceratops,Nasutoceratopsini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Nasutoceratops titusi,Nasutoceratops,Nasutoceratopsini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Yehuecauhceratops mudei,Yehuecauhceratops,Nasutoceratopsini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Achelousaurus horneri,Achelousaurus,Pachyrhinosaurini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,2,83.6,72.1,Campanian,Campanian,Cretaceous
Einiosaurus procurvicornis,Einiosaurus,Pachyrhinosaurini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,3,83.6,72.1,Campanian,Campanian,Cretaceous
Pachyrhinosaurus canadensis,Pachyrhinosaurus,Pachyrhinosaurini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,6,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Pachyrhinosaurus lakustai,Pachyrhinosaurus,Pachyrhinosaurini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Pachyrhinosaurus perotorum,Pachyrhinosaurus,Pachyrhinosaurini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Diabloceratops eatoni,Diabloceratops,Centrosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Machairoceratops cronusi,Machairoceratops,Centrosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Menefeeceratops sealeyi,Menefeeceratops,Centrosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Monoclonius crassus,Monoclonius,Centrosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Sinoceratops zhuchengensis,Sinoceratops,Centrosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Stellasaurus ancellae,Stellasaurus,Centrosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Wendiceratops pinhornensis,Wendiceratops,Centrosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Xenoceratops foremostensis,Xenoceratops,Centrosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Eotriceratops xerinsularis,Eotriceratops,Triceratopsini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Regaliceratops peterhewsi,Regaliceratops,Triceratopsini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Titanoceratops ouranos,Titanoceratops,Triceratopsini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Torosaurus latus,Torosaurus,Triceratopsini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,5,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Torosaurus utahensis,Torosaurus,Triceratopsini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,3,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Ojoceratops fowleri,Triceratops,Triceratopsini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,6,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Tatankaceratops sacrisonorum,Triceratops,Triceratopsini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Triceratops horridus,Triceratops,Triceratopsini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,24,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Triceratops prorsus,Triceratops,Triceratopsini,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,17,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Agujaceratops mariscalensis,Agujaceratops,Chasmosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,8,83.6,72.1,Campanian,Campanian,Cretaceous
Anchiceratops ornatus,Anchiceratops,Chasmosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,5,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Arrhinoceratops brachyops,Arrhinoceratops,Chasmosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,2,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Bisticeratops froeseorum,Bisticeratops,Chasmosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Bravoceratops polyphemus,Bravoceratops,Chasmosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Chasmosaurus belli,Chasmosaurus,Chasmosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,7,83.6,72.1,Campanian,Campanian,Cretaceous
Chasmosaurus russelli,Chasmosaurus,Chasmosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,3,83.6,72.1,Campanian,Campanian,Cretaceous
Coahuilaceratops magnacuerna,Coahuilaceratops,Chasmosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Judiceratops tigris,Judiceratops,Chasmosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Kosmoceratops richardsoni,Kosmoceratops,Chasmosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,2,83.6,72.1,Campanian,Campanian,Cretaceous
Navajoceratops sullivani,Navajoceratops,Chasmosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Pentaceratops sternbergii,Pentaceratops,Chasmosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,4,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Sierraceratops turneri,Sierraceratops,Chasmosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Spiclypeus shipporum,Spiclypeus,Chasmosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Terminocavus sealeyi,Terminocavus,Chasmosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Utahceratops gettyi,Utahceratops,Chasmosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,9,83.6,72.1,Campanian,Campanian,Cretaceous
Vagaceratops irvinensis,Vagaceratops,Chasmosaurinae,Ceratopsidae,NO_ORDER_SPECIFIED,Ornithischia,3,83.6,72.1,Campanian,Campanian,Cretaceous
Albalophosaurus yamaguchiorum,Albalophosaurus,Ceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,125.77,121.4,Barremian,Barremian,Cretaceous
Micropachycephalosaurus hongtuyanensis,Micropachycephalosaurus,Ceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,89.8,83.6,Coniacian,Santonian,Cretaceous
Notoceratops bonarelli,Notoceratops,Ceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Psittacosaurus amitabha,Psittacosaurus,Ceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,132.6,121.4,Hauterivian,Barremian,Cretaceous
Psittacosaurus gobiensis,Psittacosaurus,Ceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Psittacosaurus lujiatunensis,Psittacosaurus,Ceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,2,125.77,119.5,Barremian,Aptian,Cretaceous
Psittacosaurus meileyingensis,Psittacosaurus,Ceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,3,121.4,113.0,Aptian,Aptian,Cretaceous
Psittacosaurus mongoliensis,Psittacosaurus,Ceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,8,121.4,109.9,Aptian,Albian,Cretaceous
Psittacosaurus neimongoliensis,Psittacosaurus,Ceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,2,145.0,100.5,Berriasian,Albian,Cretaceous
Psittacosaurus sibiricus,Psittacosaurus,Ceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,2,125.77,113.0,Barremian,Aptian,Cretaceous
Psittacosaurus sinensis,Psittacosaurus,Ceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,2,121.4,100.5,Aptian,Albian,Cretaceous
Psittacosaurus xinjiangensis,Psittacosaurus,Ceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,2,121.4,109.9,Aptian,Albian,Cretaceous
Serendipaceratops arthurcclarkei,Serendipaceratops,Ceratopsia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Homalocephale calathocercos,Homalocephale,Eupachycephalosauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,2,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Pachycephalosaurus wyomingensis,Pachycephalosaurus,Eupachycephalosauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,7,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Prenocephale prenes,Prenocephale,Eupachycephalosauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,2,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Stegoceras novomexicanum,Stegoceras,Eupachycephalosauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,5,83.6,72.1,Campanian,Campanian,Cretaceous
Stegoceras validum,Stegoceras,Eupachycephalosauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,24,83.6,72.1,Campanian,Campanian,Cretaceous
Alaskacephale gangloffi,Alaskacephale,Pachycephalosaurini,Pachycephalosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Acrotholus audeti,Acrotholus,Pachycephalosaurinae,Pachycephalosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,86.3,83.6,Santonian,Santonian,Cretaceous
Foraminacephale brevis,Foraminacephale,Pachycephalosaurinae,Pachycephalosauridae,NO_ORDER_SPECIFIED,Ornithischia,5,83.6,72.1,Campanian,Campanian,Cretaceous
Platytholus clemensi,Platytholus,Pachycephalosaurinae,Pachycephalosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Sphaerotholus buchholtzae,Sphaerotholus,Pachycephalosaurinae,Pachycephalosauridae,NO_ORDER_SPECIFIED,Ornithischia,2,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Sphaerotholus edmontonensis,Sphaerotholus,Pachycephalosaurinae,Pachycephalosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Sphaerotholus goodwini,Sphaerotholus,Pachycephalosaurinae,Pachycephalosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Sphaerotholus lyonsi,Sphaerotholus,Pachycephalosaurinae,Pachycephalosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Sphaerotholus triregnum,Sphaerotholus,Pachycephalosaurinae,Pachycephalosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Amtocephale gobiensis,Amtocephale,Pachycephalosauridae,Pachycephalosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,100.5,83.6,Cenomanian,Santonian,Cretaceous
Colepiocephale lambei,Colepiocephale,Pachycephalosauridae,Pachycephalosauridae,NO_ORDER_SPECIFIED,Ornithischia,4,83.6,72.1,Campanian,Campanian,Cretaceous
Hanssuesia sternbergi,Hanssuesia,Pachycephalosauridae,Pachycephalosauridae,NO_ORDER_SPECIFIED,Ornithischia,2,83.6,72.1,Campanian,Campanian,Cretaceous
Sinocephale bexelli,Sinocephale,Pachycephalosauridae,Pachycephalosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Tylocephale gilmorei,Tylocephale,Pachycephalosauridae,Pachycephalosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Goyocephale lattimorei,Goyocephale,Pachycephalosauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,86.3,66.0,Santonian,Maastrichtian,Cretaceous
Tianyulong confuciusi,Tianyulong,Pachycephalosauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,168.2,152.2,Bathonian,Kimmeridgian,Jurassic
Wannanosaurus yansiensis,Wannanosaurus,Pachycephalosauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Gasparinisaura cincosaltensis,Gasparinisaura,Parksosauridae,Parksosauridae,NO_ORDER_SPECIFIED,Ornithischia,3,83.6,72.1,Campanian,Campanian,Cretaceous
Daurosaurus olovus,Daurosaurus,Hypsilophodontidae,Hypsilophodontidae,NO_ORDER_SPECIFIED,Ornithischia,1,168.2,145.0,Bathonian,Tithonian,Jurassic
Hypsilophodon foxii,Hypsilophodon,Hypsilophodontidae,Hypsilophodontidae,NO_ORDER_SPECIFIED,Ornithischia,3,125.77,121.4,Barremian,Barremian,Cretaceous
Vectidromeus insularis,Vectidromeus,Hypsilophodontidae,Hypsilophodontidae,NO_ORDER_SPECIFIED,Ornithischia,1,145.0,100.5,Berriasian,Albian,Cretaceous
Lophorhothon atopus,Lophorhothon,Hadrosauromorpha,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,2,86.3,72.1,Santonian,Campanian,Cretaceous
Barilium dawsoni,Barilium,Iguanodontidae,Iguanodontidae,NO_ORDER_SPECIFIED,Ornithischia,2,139.8,121.4,Valanginian,Barremian,Cretaceous
Bolong yixianensis,Bolong,Iguanodontidae,Iguanodontidae,NO_ORDER_SPECIFIED,Ornithischia,2,125.77,119.5,Barremian,Aptian,Cretaceous
Jinzhousaurus yangi,Jinzhousaurus,Iguanodontidae,Iguanodontidae,NO_ORDER_SPECIFIED,Ornithischia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Altirhinus kurzanovi,Altirhinus,Neoiguanodontia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,109.9,100.5,Albian,Albian,Cretaceous
Hypselospinus fittoni,Hypselospinus,Neoiguanodontia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,6,140.6,132.6,Berriasian,Valanginian,Cretaceous
Ouranosaurus nigeriensis,Ouranosaurus,Neoiguanodontia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,5,121.4,100.5,Aptian,Albian,Cretaceous
Bayannurosaurus perfectus,Bayannurosaurus,Ankylopollexia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,121.4,119.5,Aptian,Aptian,Cretaceous
Camptosaurus aphanoecetes,Camptosaurus,Ankylopollexia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,149.2,146.3,Tithonian,Tithonian,Jurassic
Camptosaurus dispar,Camptosaurus,Ankylopollexia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,2,154.8,145.0,Kimmeridgian,Tithonian,Jurassic
Iguanodon bernissartensis,Iguanodon,Ankylopollexia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,22,146.3,119.5,Tithonian,Aptian,
Iguanodon galvensis,Iguanodon,Ankylopollexia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,7,125.77,121.4,Barremian,Barremian,Cretaceous
Iguanodon major,Iguanodon,Ankylopollexia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,132.6,121.4,Hauterivian,Barremian,Cretaceous
Oblitosaurus bunnueli,Oblitosaurus,Ankylopollexia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Ornithischia,1,152.2,145.0,Kimmeridgian,Tithonian,Jurassic
Acristavus gagslarsoni,Acristavus,Brachylophosaurini,Hadrosauridae,NO_ORDER_SPECIFIED,Ornithischia,2,83.6,72.1,Campanian,Campanian,Cretaceous
Brachylophosaurus canadensis,Brachylophosaurus,Brachylophosaurini,Hadrosauridae,NO_ORDER_SPECIFIED,Ornithischia,5,83.6,72.1,Campanian,Campanian,Cretaceous
Hadrosaurus foulkii,Hadrosaurus,Brachylophosaurini,Hadrosauridae,NO_ORDER_SPECIFIED,Ornithischia,2,83.6,72.1,Campanian,Campanian,Cretaceous
Maiasaura peeblesorum,Maiasaura,Brachylophosaurini,Hadrosauridae,NO_ORDER_SPECIFIED,Ornithischia,5,83.6,72.1,Campanian,Campanian,Cretaceous
Ornatops incantatus,Ornatops,Brachylophosaurini,Hadrosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Probrachylophosaurus bergei,Probrachylophosaurus,Brachylophosaurini,Hadrosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Wulagasaurus dongi,Wulagasaurus,Brachylophosaurini,Hadrosauridae,NO_ORDER_SPECIFIED,Ornithischia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Edmontosaurus annectens,Edmontosaurus,Edmontosaurini,Hadrosauridae,NO_ORDER_SPECIFIED,Ornithischia,22,83.6,66.0,Campanian,Maastrichtian,Cretaceous
