Name,Genus,Parent Taxon,Family,Order,Class,Number of Occurrences,Max First Appearance (MYA),Min Last Appearance (MYA),Early Interval,Late Interval,Era
Ctenochasma roemeri,Ctenochasma,Lophocratia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,145.0,139.8,Berriasian,Berriasian,
Ctenochasma taqueti,Ctenochasma,Lophocratia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,149.2,146.3,Tithonian,Tithonian,Jurassic
Cycnorhamphus suevicus,Cycnorhamphus,Lophocratia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,3,152.2,146.3,Kimmeridgian,Tithonian,Jurassic
Elanodactylus prolatus,Elanodactylus,Lophocratia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,2,125.77,119.5,Barremian,Aptian,Cretaceous
Eosipterus yangi,Eosipterus,Lophocratia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Feilongus youngi,Feilongus,Lophocratia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,2,125.77,113.0,Barremian,Aptian,Cretaceous
Gallodactylus canjuersensis,Gallodactylus,Lophocratia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,149.2,146.3,Tithonian,Tithonian,Jurassic
Gegepterus changi,Gegepterus,Lophocratia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Germanodactylus cristatus,Germanodactylus,Lophocratia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,2,149.2,146.3,Tithonian,Tithonian,Jurassic
Germanodactylus rhamphastinus,Germanodactylus,Lophocratia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,2,149.2,146.3,Tithonian,Tithonian,Jurassic
Gnathosaurus macrurus,Gnathosaurus,Lophocratia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,145.0,139.8,Berriasian,Berriasian,
Gnathosaurus subulatus,Gnathosaurus,Lophocratia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,149.2,146.3,Tithonian,Tithonian,Jurassic
Huanhepterus quingyangensis,Huanhepterus,Lophocratia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,139.8,100.5,Valanginian,Albian,Cretaceous
